Query	Document
who sings somebody's watching me with michael jackson	"""Somebody's Watching Me"" is a song recorded by American singer Rockwell, released by the Motown label in 1984, as the lead single from his debut studio album of the same name. Rockwell's debut single release, the song features guest vocals by brothers Michael Jackson (in the chorus) and Jermaine Jackson (additional backing vocals).
"
who cracked the enigma code in world war 2	"Information gleaned via British Ultra code-breaking intelligence proved critical to Allied success in North Africa. Victory for the Allies in this campaign immediately led to the Italian Campaign, which culminated in the downfall of the fascist government in Italy and the elimination of Germany's main European ally.
"
where was the u.s.s maine when it exploded in 1898	"USS ""Maine"" (ACR-1) was a United States Navy ship that sank in Havana Harbor in February 1898, contributing to the outbreak of the Spanish–American War in April. American newspapers, engaging in yellow journalism to boost circulation, claimed that the Spanish were responsible for the ship's destruction. The phrase ""Remember the ""Maine!"" To hell with Spain!"" became a rallying cry for action. Although the ""Maine"" explosion was not a direct cause, it served as a catalyst that accelerated the events leading up to the war.
"
where do characters live in this is us	"The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country comprising 50 states, a federal district, five major self-governing territories, and various possessions. At , the United States is the world's third or fourth largest country by total area and is slightly smaller than the entire continent of Europe's . With a population of more than 327 million people, the U.S. is the third most populous country. Most of the country is located contiguously in North America between Canada and Mexico.
"
when did slave to the rhythm come out	"In 1979, ""Theme from ""New York, New York"""" was re-recorded by Frank Sinatra for his album """" (1980), and has since become closely associated with him. He occasionally performed it live with Minnelli as a duet. Sinatra recorded it a second time for his 1993 album ""Duets"", with Tony Bennett.
"
who plays bianca in that's so raven	"BULLET::::- Bianca, played by Erica Rivera
"
where does the movie proof of life take place	"The Republic of Tecala, where most of ""Proof of Life"" is set, is a fictional South American country. Tecala has long been the scene of an internal conflict between its government forces and the Liberation Army of Tecala (ELT). The ELT was originally a Marxist guerrilla group supported by the Soviet Union, but after the Soviet Union's dissolution in 1991, the ELT's primary source of funding fell through, and they began kidnapping people for ransom to fund their operations. A map seen in the film is that of Ecuador. The country's capital Quito was chosen along with the eastern jungle and the nearby city of Baños de Agua Santa in the Ecuadorian Andes.
"
where is hallmark channel home and family filmed	"""Home and Family"" is a two-hour daily Hallmark series, recorded before a studio audience on Tuesdays and Thursdays, in Los Angeles, California. Steines said that the decision for that was made to encourage actors to be on the show, without having to wake at 4:00 a.m. The focus of the show is simply entertainment and tips within a ""wholesome image"". They refrain from discussions on current events or politics and censor themselves in speech; as an example, the word ""breast"" may not be used.
"
china in chinese is called zhongguo which means	"""Zhōngguó"" is the most common sinitic name for China in modern times. The first appearance of on an artifact was in the Western Zhou on a ritual vessel known as He zun. It is formed by combining the characters ""zhōng"" () meaning ""central"" or ""middle"", and ""guó"" (/), representing ""state"" or ""states""; in contemporary usage, ""nation"". Prior to the Qin unification of China ""Zhongguo"" referred to the ""Central States""; the connotation was the primacy of a culturally distinct core area, centered on the Yellow River valley, as distinguished from the tribal periphery. In later periods, however, ""Zhongguo"" was not used in this sense. Dynastic names were used for the state in Imperial China and concepts of the state aside from the ruling dynasty were little understood. Rather, the country was called by the name of the dynasty, such as ""Han dynasty"" (""Hanchao"" ), ""Tang dynasty"" (""Tangchao"" ), ""The Great Ming"" (""Daming"" ), ""The Great Qing"" (""Daqing"" ), as the case might be. Until the 19th century when the international system came to require a common legal language, there was no need for a fixed or unique name.
"
the probability of making a type i error when retaining ho at the .05 level of significance is	"If the probability of obtaining a result as extreme as the one obtained, supposing that the null hypothesis were true, is lower than a pre-specified cut-off probability (for example, 5%), then the result is said to be statistically significant and the null hypothesis is rejected.
"
when was the national flag of india adopted	"The National Flag of India is a horizontal rectangular tricolour of India saffron, white and India green; with the ', a 24-spoke wheel, in navy blue at its centre. It was adopted in its present form during a meeting of the Constituent Assembly held on 22 July 1947, and it became the official flag of the Dominion of India on 15 August 1947. The flag was subsequently retained as that of the Republic of India. In India, the term ""tricolour"" () almost always refers to the Indian national flag. The flag is based on the ' flag, a flag of the Indian National Congress designed by Pingali Venkayya and first flown in 1923.
"
when was the land rover defender first built	"The Land Rover Defender (initially called the Land Rover Ninety and Land Rover One Ten) is a British four-wheel drive off-road vehicle developed in the 1980s from the original Land Rover series which was launched at the Amsterdam Motor Show in April 1948. 
"
who sang the them song for as told by ginger	"The opening theme, titled ""I'm in Between"", was written for the show by series composer, Jared Faber, and Emily Kapnek. The song was first recorded with vocals by Melissa Disney, in character as Ginger. But this version was replaced before initial North American broadcasts with another version performed by Cree Summer. This would be used for half of the first season before a third version, featuring vocals by R&B artist Macy Gray, which was used for the rest of the series' run.
"
what information is displayed in clear text from the ftp header	"FTP does not encrypt its traffic; all transmissions are in clear text, and usernames, passwords, commands and data can be read by anyone able to perform packet capture (sniffing) on the network. This problem is common to many of the Internet Protocol specifications (such as SMTP, Telnet, POP and IMAP) that were designed prior to the creation of encryption mechanisms such as TLS or SSL.
"
when is the last time the new york giants won the super bowl	"The Giants were one of five teams that joined the NFL in 1925, and is the only one of that group still existing, as well as the league's longest-established team in the Northeastern United States. The team ranks third among all NFL franchises with eight NFL championship titles: four in the pre–Super Bowl era (1927, 1934, 1938, 1956) and four since the advent of the Super Bowl (XXI (1986), XXV (1990), XLII (2007), and XLVI (2011)), along with more championship appearances than any other team, with 19 overall appearances. Their championship tally is surpassed only by the Green Bay Packers (13) and Chicago Bears (9). Throughout their history, the Giants have featured 28 Hall of Fame players, including NFL Most Valuable Player (MVP) award winners Mel Hein, Frank Gifford, Y. A. Tittle, and Lawrence Taylor.
"
who discovered one of the first taxonomic classification schemes	"In biology, taxonomy () is the science of naming, defining (circumscribing) and classifying groups of biological organisms on the basis of shared characteristics. Organisms are grouped together into taxa (singular: taxon) and these groups are given a taxonomic rank; groups of a given rank can be aggregated to form a super-group of higher rank, thus creating a taxonomic hierarchy. The principal ranks in modern use are domain, kingdom, phylum (division is sometimes used in botany in place of phylum), class, order, family, genus, and species. The Swedish botanist Carl Linnaeus is regarded as the founder of the current system of taxonomy, as he developed a system known as Linnaean taxonomy for categorizing organisms and binomial nomenclature for naming organisms.
"
how many seasons of the glades were made	"A total of 49 episodes of ""The Glades"" were produced and aired over four seasons.
"
when does the new saw 8 come out	"""Jigsaw"" was released in the United Kingdom on October 26, 2017, and in the United States theatrically on October 27, 2017. It was featured in IMAX screenings for the first week of its theatrical run.
"
who made possible the first reproduction of the human voice on the phonograph	"The phonograph was invented in 1877 by Thomas Edison. While other inventors had produced devices that could record sounds, Edison's phonograph was the first to be able to reproduce the recorded sound. His phonograph originally recorded sound onto a tinfoil sheet wrapped around a rotating cylinder. A stylus responding to sound vibrations produced an up and down or hill-and-dale groove in the foil. Alexander Graham Bell's Volta Laboratory made several improvements in the 1880s and introduced the ""graphophone"", including the use of wax-coated cardboard cylinders and a cutting stylus that moved from side to side in a zigzag groove around the record. In the 1890s, Emile Berliner initiated the transition from phonograph cylinders to flat discs with a spiral groove running from the periphery to near the center, coining the term ""gramophone"" for disc record players, which is predominantly used in many languages. Later improvements through the years included modifications to the turntable and its drive system, the stylus or needle, and the sound and equalization systems.
"
how many players on the line of scrimmage in american football	"In both American and Canadian professional football, every player on the defensive team is considered eligible. The offensive team must have at least seven players lined up on the line of scrimmage. Of the players on the line of scrimmage, only the two players on the ends of the line of scrimmage are eligible receivers. The remaining players are in the backfield (four in American football, five in Canadian football), including the quarterback. These backfield players are also eligible receivers. In the National Football League, a quarterback who takes his stance behind center as a T-formation quarterback is not eligible unless, before the ball is snapped, he legally moves to a position at least one yard behind the line of scrimmage or on the end of the line, and is stationary in that position for at least one second before the snap, but is nonetheless not counted toward the seven men required on the line of scrimmage.
"
who sings the skye boat song on outlander	"Bear McCreary adapted the song as the opening titles of the 2014 TV series ""Outlander"", sung by Raya Yarbrough, changing the text of Robert Louis Stevenson's poem ""Sing Me a Song of a Lad That Is Gone"" (1892) to fit the story.
"
how many different kinds of pokemon cards are there	"A simplified type system was adopted from the video games for use in the trading card game. Instead of 18 types of Pokémon, only eleven exist in the TCG. Seven were introduced first set of Pokémon cards, the Base Set; Darkness and Metal types appeared when ""Pokémon Gold"" and ""Silver"" introduced the Dark and Steel types in the video games; the Dragon type was introduced in the Japanese ""Dragon Selection"" set; and finally, the Fairy type was introduced in the Japanese ""XY"" set to correspond to its introduction in the video games.
"
author of the hymn great is thy faithfulness	"Great Is Thy Faithfulness is a popular Christian hymn written by Thomas Chisholm (1866–1960) with music composed by William M. Runyan (1870–1957) in Baldwin City, Kansas, U.S.
"
the elements in each period have the same number of	"A period in the periodic table is a row of chemical elements. All elements in a row have the same number of electron shells. Each next element in a period has one more proton and is less metallic than its predecessor. Arranged this way, groups of elements in the same column have similar chemical and physical properties, reflecting the periodic law. For example, the alkali metals lie in the first column (group 1) and share similar properties, such as high reactivity and the tendency to lose one electron to arrive at a noble-gas electronic configuration. As of 2016, a total of 118 elements have been discovered and confirmed.
"
how many writes does a flash drive have	"A USB flash drive is a data storage device that includes flash memory with an integrated USB interface. It is typically removable, rewritable and much smaller than an optical disc. Most weigh less than . Since first appearing on the market in late 2000, as with virtually all other computer memory devices, storage capacities have risen while prices have dropped. , flash drives with anywhere from 8 to 256 GB were frequently sold, while 512 GB and 1 TB units were less frequent. As of 2018, 2TB flash drives were the largest available in terms of storage capacity. Some allow up to 100,000 write/erase cycles, depending on the exact type of memory chip used, and are thought to last between 10 and 100 years under normal circumstances (shelf storage time).
"
what are the roles of international monetary fund	"The International Monetary Fund (IMF), also known as the Fund, is an international organization headquartered in Washington, D.C., consisting of 189 countries working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world. Formed in 1944 at the Bretton Woods Conference primarily by the ideas of Harry Dexter White and John Maynard Keynes, it came into formal existence in 1945 with 29 member countries and the goal of reconstructing the international payment system. It now plays a central role in the management of balance of payments difficulties and international financial crises. Countries contribute funds to a pool through a quota system from which countries experiencing balance of payments problems can borrow money. , the fund had SDR477 billion (about $667 billion).
"
when was beowulf most likely composed when did it's events probably take place	"The events in the poem take place over most of the sixth century, after the Anglo-Saxons had started migrating to England and before the beginning of the seventh century, a time when the Anglo-Saxons were either newly arrived or were still in close contact with their Germanic kinsmen in Northern Germany and southern Scandinavia. The stories in the poem may have been brought to England by people of Geatish origins. Some suggest that ""Beowulf"" was first composed in the 7th century at Rendlesham in East Anglia, as the Sutton Hoo ship-burial shows close connections with Scandinavia, and the East Anglian royal dynasty, the Wuffingas, may have been descendants of the Geatish Wulfings. Others have associated this poem with the court of King Alfred the Great or with the court of King Cnut the Great.
"
who sang original i want a hippopotamus for christmas	"""I Want a Hippopotamus for Christmas"" is a Christmas novelty song written by John Rox (1902–1957) and performed by Gayla Peevey (10 years old at the time) in 1953. The song peaked at number 24 on ""Billboard"" magazine's pop chart in December 1953.
"
which animal on earth has the longest life span	"BULLET::::- Adwaita, an Aldabra giant tortoise, died at an estimated age of 255 in March 2006 in Alipore Zoo, Kolkata, India. If verified, it will have been the oldest terrestrial animal in the world.
"
when was the first driver's license required	"A driver's license is issued by each state's DMV, which is required to drive. Each state's DMV can also issue a state identification card. It does not contain any endorsements to operate vehicles and can be used as official identification where asked for or needed.
"
